No,NIS,Nilai Rata - rata Rapot,Nilai Rata - rata UN,Placement Test,Nilai Akhir,Minat
1,20269707,85.44,84.39,77.15, 82.33 ,IPA
2,20219371,86.69,83.97,81.06, 83.91 ,IPA
3,20219510,81.47,83.89,82.74, 82.70 ,IPA
4,20219513,79.63,85.38,91.44, 85.48 ,IPA
5,20219487,87.5,89.17,93.43, 90.03 ,IPA
6,20219366,69.91,87.08,91.38, 82.79 ,IPA
7,20219373,85.27,82.95,75.89, 81.37 ,IPA
8,20219369,85.15,81.35,85.97, 84.16 ,IPA
9,20219354,78.76,88.17,75.8, 80.91 ,IPA
10,20219451,71.66,83,91.7, 82.12 ,IPA
11,20219462,76.57,87.4,89.67, 84.55 ,IPA
12,20219461,81.84,85.63,86.39, 84.62 ,IPA
13,20219470,86.72,87.05,91.56, 88.44 ,IPA
14,20219467,83.78,88.3,82.2, 84.76 ,IPA
15,20219465,77.57,85.1,84.29, 82.32 ,IPA
16,20219207,76.59,85.72,82.92, 81.74 ,IPA
17,20219191,78.53,83.75,88.62, 83.63 ,IPA
18,20219185,77.65,79.72,89.66, 82.34 ,IPA
19,20219454,75.86,87.95,80.71, 81.51 ,IPA
20,20219449,74.67,83.54,83.22, 80.48 ,IPA
21,20219447,69.78,86.06,79.95, 78.60 ,IPA
22,20219439,78.13,85.05,76.19, 79.79 ,IPA
23,20219514,73.88,81.03,78.03, 77.65 ,IPA
24,20219517,71.36,81.7,92.8, 81.95 ,IPA
25,20219516,73.63,82.63,88.1, 81.45 ,IPA
26,20219475,77.67,80.5,82.03, 80.07 ,IPA
27,20219486,74.95,87.12,86.43, 82.83 ,IPA
28,20219429,81.85,84.48,76.8, 81.04 ,IPA
29,20219469,68.83,82.91,78.57, 76.77 ,IPA
30,20219208,78.98,84.37,84.24, 82.53 ,IPA
31,20219189,70.82,84.84,89.82, 81.83 ,IPA
32,20219205,70.55,79.85,83.87, 78.09 ,IPA
33,20219430,71.91,81.08,77.54, 76.84 ,IPA
34,20219426,82.15,81.6,79.36, 81.04 ,IPA
35,20219443,70.58,85.71,75.64, 77.31 ,IPA
36,20219441,78.41,85.13,78.25, 80.60 ,IPA
37,20219505,72.6,83.77,83.94, 80.10 ,IPA
38,20219503,69.52,84.58,72.46, 75.52 ,IPA
39,20219509,71.63,81.08,67.54, 73.42 ,IPA
40,20219493,70.4,80.16,85.3, 78.62 ,IPA
41,20219474,71.1,87.49,53.42, 70.67 ,IPA
42,20219338,69.84,84.64,80.22, 78.23 ,IPA
43,20219472,72.3,73.21,77.78, 74.43 ,IPA
44,20219221,80.21,82.05,66.64, 76.30 ,IPA
45,20219203,78.17,90.5,56.95, 75.21 ,IPA
46,20219471,75.6,86.22,61.75, 74.52 ,IPA
47,20219479,75.52,77.35,71.89, 74.92 ,IPA
48,20219376,75.77,85.33,83.32, 81.47 ,IPA
49,20219362,71.82,80.04,74.65, 75.50 ,IPA
50,20219450,75,75.57,81.28, 77.28 ,IPA
51,20219511,73.47,82.68,89.93, 82.03 ,IPA
52,20219478,69.61,76.48,95.17, 80.42 ,IPS
53,20247311,69.9,84.34,63.76, 72.67 ,IPS
54,20219359,67.43,70.28,58.44, 65.38 ,IPS
55,20219355,69.62,70.31,95.59, 78.51 ,IPS
56,20219464,77.32,81.77,77.27, 78.79 ,IPS
57,20219206,70.8,82.19,63.11, 72.03 ,IPS
58,20219201,74.72,75.44,73.33, 74.50 ,IPS
59,20219198,93.79,78.94,83.95, 85.56 ,IPS
60,20219452,56.63,74.3,64.64, 65.19 ,IPS
61,20219432,61.5,81.75,62.22, 68.49 ,IPS
62,20219502,49.37,69.53,60.27, 59.72 ,IPS
63,20219497,74.51,69.06,72.03, 71.87 ,IPS
64,20219477,77.96,79.23,67.04, 74.74 ,IPS
65,20219485,71.14,60.02,83.02, 71.39 ,IPS
66,20254287,79.41,77.73,72.64, 76.59 ,IPS
67,20219424,72.85,68.19,83.5, 74.85 ,IPS
68,20219448,71.91,58.14,55.88, 61.98 ,IPS
69,20219431,71.46,54.3,73.57, 66.44 ,IPS
70,20219435,74.12,60.49,54.88, 63.16 ,IPS
71,20219446,70.94,69.28,63.04, 67.75 ,IPS
72,20219507,70.85,72.3,56.72, 66.62 ,IPS
73,20219483,71.36,80.21,51.99, 67.85 ,IPS
74,20219476,66.39,78.17,55.04, 66.53 ,IPS
75,20219484,70.52,75.6,54.49, 66.87 ,IPS
76,20219363,71.01,75.52,54.96, 67.16 ,IPS
77,20219356,60.92,75.77,53.13, 63.27 ,IPS
78,20219352,62.13,71.82,57.99, 63.98 ,IPS
79,20219463,61.66,75,69.22, 68.63 ,IPS
80,20219193,60.19,73.47,65.14, 66.27 ,IPS
81,60725413,64.6,69.61,60.22, 64.81 ,IPS
82,20254716,52.76,88.48,58.73, 66.66 ,IPS
83,20219186,73.92,72.07,61.75, 69.25 ,IPS
84,20219204,78.22,70.42,56.83, 68.49 ,IPS
85,20270078,79.29,89.5,61.19, 76.66 ,IPS
86,20219460,83.33,53.76,56.23, 64.44 ,IPS
87,20219459,63.52,85.32,53.02, 67.29 ,IPS
88,20219457,83.54,77.01,52.13, 70.89 ,IPS
89,20219433,59.81,67.27,51.86, 59.65 ,IPS
90,20219428,60.53,56.13,51.48, 56.05 ,IPS
91,20219442,80.09,63.73,60.59, 68.14 ,IPS
92,20258091,81.63,75.28,45.92, 67.61 ,IPS
93,20219491,87.59,86.49,45.96, 73.35 ,IPS
94,60726290,77.52,76.1,45.95, 66.52 ,IPS
95,20219364,76.46,68.95,44.92, 63.44 ,IPS
96,20219372,73.16,60.96,46.13, 60.08 ,IPS
97,20219490,77.36,81.01,40.3, 66.22 ,IPS
98,20219192,72.87,47.22,57.23, 59.11 ,IPS
99,20219455,70.81,76.08,64, 70.30 ,IPS
100,20219436,67.74,75.88,87.69, 77.10 ,IPS
101,20219425,81.31,67.65,66.78, 71.91 ,IPS
